id,brand,category,price,rating,discount,review,image_path,buy
49,Alpha,Home,133.17,3.5,0.32,I think this Alpha home is poor. Price feels fair. Would consider buying again.,images/img_49.png,0
50,Citrus,Beauty,86.86,1.7,0.16,I think this Citrus beauty is great. Price feels fair. Would consider buying again.,images/img_50.png,0
51,Echo,Electronics,210.85,3.1,0.22,I think this Echo electronics is great. Price feels fair. Would consider buying again.,images/img_51.png,1
52,Delta,Electronics,113.01,3.1,0.05,I think this Delta electronics is terrible. Price feels fair. Would consider buying again.,images/img_52.png,0
53,Echo,Beauty,211.13,3.0,0.41,I think this Echo beauty is great. Price feels fair. Would consider buying again.,images/img_53.png,1
54,Delta,Sports,130.74,4.7,0.0,I think this Delta sports is great. Price feels fair. Would consider buying again.,images/img_54.png,1
55,Echo,Sports,154.44,4.6,0.37,I think this Echo sports is good. Price feels fair. Would consider buying again.,images/img_55.png,1
56,Bravo,Sports,23.72,2.4,0.5,I think this Bravo sports is poor. Price feels fair. Would consider buying again.,images/img_56.png,0
57,Bravo,Home,144.02,2.2,0.25,I think this Bravo home is good. Price feels fair. Would consider buying again.,images/img_57.png,0
58,Citrus,Fashion,81.57,2.0,0.26,I think this Citrus fashion is poor. Price feels fair. Would consider buying again.,images/img_58.png,0
59,Delta,Electronics,71.59,3.3,0.23,I think this Delta electronics is great. Price feels fair. Would consider buying again.,images/img_59.png,1
60,Alpha,Home,128.29,3.2,0.26,I think this Alpha home is great. Price feels fair. Would consider buying again.,images/img_60.png,1
61,Echo,Beauty,158.73,5.0,0.11,I think this Echo beauty is average. Price feels fair. Would consider buying again.,images/img_61.png,1
62,Alpha,Electronics,224.77,3.3,0.11,I think this Alpha electronics is average. Price feels fair. Would consider buying again.,images/img_62.png,0
63,Alpha,Beauty,210.83,2.8,0.15,I think this Alpha beauty is great. Price feels fair. Would consider buying again.,images/img_63.png,1
64,Alpha,Home,78.54,4.2,0.29,I think this Alpha home is great. Price feels fair. Would consider buying again.,images/img_64.png,1
65,Bravo,Home,169.76,2.7,0.48,I think this Bravo home is average. Price feels fair. Would consider buying again.,images/img_65.png,0
66,Bravo,Sports,55.01,3.7,0.08,I think this Bravo sports is great. Price feels fair. Would consider buying again.,images/img_66.png,1
67,Echo,Sports,20.81,4.4,0.32,I think this Echo sports is good. Price feels fair. Would consider buying again.,images/img_67.png,1
68,Delta,Fashion,230.38,3.5,0.36,I think this Delta fashion is great. Price feels fair. Would consider buying again.,images/img_68.png,1
69,Alpha,Fashion,124.57,5.0,0.4,I think this Alpha fashion is good. Price feels fair. Would consider buying again.,images/img_69.png,1
70,Delta,Fashion,13.44,4.0,0.31,I think this Delta fashion is poor. Price feels fair. Would consider buying again.,images/img_70.png,1
71,Alpha,Electronics,56.25,4.2,0.11,I think this Alpha electronics is great. Price feels fair. Would consider buying again.,images/img_71.png,1
72,Citrus,Electronics,193.56,4.6,0.35,I think this Citrus electronics is great. Price feels fair. Would consider buying again.,images/img_72.png,1
73,Bravo,Sports,141.89,4.7,0.21,I think this Bravo sports is good. Price feels fair. Would consider buying again.,images/img_73.png,1
74,Delta,Beauty,197.93,3.3,0.07,I think this Delta beauty is great. Price feels fair. Would consider buying again.,images/img_74.png,1
75,Bravo,Electronics,14.28,4.3,0.11,I think this Bravo electronics is good. Price feels fair. Would consider buying again.,images/img_75.png,1
76,Echo,Electronics,120.77,2.9,0.39,I think this Echo electronics is great. Price feels fair. Would consider buying again.,images/img_76.png,1
77,Echo,Electronics,43.27,5.0,0.42,I think this Echo electronics is terrible. Price feels fair. Would consider buying again.,images/img_77.png,1
78,Bravo,Beauty,130.2,4.1,0.27,I think this Bravo beauty is good. Price feels fair. Would consider buying again.,images/img_78.png,1
79,Delta,Beauty,242.98,4.0,0.22,I think this Delta beauty is poor. Price feels fair. Would consider buying again.,images/img_79.png,0
80,Alpha,Beauty,177.36,4.2,0.36,I think this Alpha beauty is good. Price feels fair. Would consider buying again.,images/img_80.png,1
81,Delta,Home,226.75,3.6,0.24,I think this Delta home is terrible. Price feels fair. Would consider buying again.,images/img_81.png,0
82,Delta,Home,153.0,2.5,0.07,I think this Delta home is good. Price feels fair. Would consider buying again.,images/img_82.png,0
83,Echo,Fashion,12.14,4.3,0.18,I think this Echo fashion is great. Price feels fair. Would consider buying again.,images/img_83.png,1
84,Citrus,Beauty,151.98,5.0,0.52,I think this Citrus beauty is terrible. Price feels fair. Would consider buying again.,images/img_84.png,0
85,Echo,Sports,238.56,3.3,0.2,I think this Echo sports is great. Price feels fair. Would consider buying again.,images/img_85.png,1
86,Citrus,Electronics,222.74,5.0,0.26,I think this Citrus electronics is great. Price feels fair. Would consider buying again.,images/img_86.png,1
87,Delta,Sports,229.84,3.2,0.24,I think this Delta sports is terrible. Price feels fair. Would consider buying again.,images/img_87.png,0
88,Echo,Beauty,73.55,4.9,0.16,I think this Echo beauty is great. Price feels fair. Would consider buying again.,images/img_88.png,1
89,Echo,Electronics,33.6,5.0,0.13,I think this Echo electronics is poor. Price feels fair. Would consider buying again.,images/img_89.png,1
90,Alpha,Sports,180.65,5.0,0.06,I think this Alpha sports is great. Price feels fair. Would consider buying again.,images/img_90.png,1
91,Bravo,Fashion,170.94,4.9,0.18,I think this Bravo fashion is great. Price feels fair. Would consider buying again.,images/img_91.png,1
92,Echo,Beauty,82.57,5.0,0.0,I think this Echo beauty is average. Price feels fair. Would consider buying again.,images/img_92.png,1
93,Alpha,Sports,43.08,5.0,0.32,I think this Alpha sports is great. Price feels fair. Would consider buying again.,images/img_93.png,1
94,Echo,Sports,125.06,3.2,0.19,I think this Echo sports is good. Price feels fair. Would consider buying again.,images/img_94.png,1
95,Citrus,Beauty,288.33,4.2,0.2,I think this Citrus beauty is average. Price feels fair. Would consider buying again.,images/img_95.png,1
96,Citrus,Beauty,210.67,3.3,0.05,I think this Citrus beauty is great. Price feels fair. Would consider buying again.,images/img_96.png,1
97,Bravo,Home,178.45,3.9,0.35,I think this Bravo home is good. Price feels fair. Would consider buying again.,images/img_97.png,1
98,Alpha,Electronics,58.21,2.8,0.44,I think this Alpha electronics is good. Price feels fair. Would consider buying again.,images/img_98.png,1
99,Echo,Electronics,31.54,4.3,0.48,I think this Echo electronics is great. Price feels fair. Would consider buying again.,images/img_99.png,1
100,Bravo,Sports,183.81,3.4,0.14,I think this Bravo sports is great. Price feels fair. Would consider buying again.,images/img_100.png,1
101,Citrus,Electronics,284.44,4.7,0.42,I think this Citrus electronics is poor. Price feels fair. Would consider buying again.,images/img_101.png,1
102,Citrus,Home,263.23,2.8,0.23,I think this Citrus home is great. Price feels fair. Would consider buying again.,images/img_102.png,1
103,Echo,Home,244.06,2.3,0.4,I think this Echo home is average. Price feels fair. Would consider buying again.,images/img_103.png,0
104,Echo,Electronics,174.03,4.2,0.13,I think this Echo electronics is average. Price feels fair. Would consider buying again.,images/img_104.png,1
105,Echo,Home,298.02,5.0,0.25,I think this Echo home is terrible. Price feels fair. Would consider buying again.,images/img_105.png,0
106,Alpha,Beauty,118.58,3.3,0.1,I think this Alpha beauty is great. Price feels fair. Would consider buying again.,images/img_106.png,1
107,Alpha,Sports,184.79,4.7,0.03,I think this Alpha sports is great. Price feels fair. Would consider buying again.,images/img_107.png,1
108,Citrus,Sports,86.92,4.0,0.14,I think this Citrus sports is great. Price feels fair. Would consider buying again.,images/img_108.png,1
109,Citrus,Beauty,159.85,4.2,0.37,I think this Citrus beauty is average. Price feels fair. Would consider buying again.,images/img_109.png,1
110,Citrus,Sports,238.63,3.4,0.58,I think this Citrus sports is good. Price feels fair. Would consider buying again.,images/img_110.png,1
111,Alpha,Electronics,188.89,3.0,0.3,I think this Alpha electronics is average. Price feels fair. Would consider buying again.,images/img_111.png,0
112,Citrus,Electronics,293.33,5.0,0.39,I think this Citrus electronics is great. Price feels fair. Would consider buying again.,images/img_112.png,1
113,Bravo,Home,271.21,4.2,0.0,I think this Bravo home is great. Price feels fair. Would consider buying again.,images/img_113.png,1
114,Delta,Sports,95.41,5.0,0.23,I think this Delta sports is average. Price feels fair. Would consider buying again.,images/img_114.png,1
115,Echo,Electronics,277.71,2.3,0.19,I think this Echo electronics is great. Price feels fair. Would consider buying again.,images/img_115.png,1
116,Bravo,Sports,189.03,2.9,0.11,I think this Bravo sports is great. Price feels fair. Would consider buying again.,images/img_116.png,1
117,Citrus,Sports,31.0,2.9,0.27,I think this Citrus sports is average. Price feels fair. Would consider buying again.,images/img_117.png,1
118,Delta,Beauty,262.55,4.5,0.2,I think this Delta beauty is great. Price feels fair. Would consider buying again.,images/img_118.png,1
119,Citrus,Electronics,20.85,3.5,0.08,I think this Citrus electronics is poor. Price feels fair. Would consider buying again.,images/img_119.png,1
120,Bravo,Beauty,168.13,1.9,0.28,I think this Bravo beauty is average. Price feels fair. Would consider buying again.,images/img_120.png,0
121,Citrus,Sports,154.99,3.9,0.21,I think this Citrus sports is poor. Price feels fair. Would consider buying again.,images/img_121.png,0
122,Delta,Sports,208.46,2.8,0.21,I think this Delta sports is average. Price feels fair. Would consider buying again.,images/img_122.png,0
123,Bravo,Beauty,89.29,4.6,0.31,I think this Bravo beauty is terrible. Price feels fair. Would consider buying again.,images/img_123.png,0
124,Bravo,Fashion,164.61,4.0,0.21,I think this Bravo fashion is great. Price feels fair. Would consider buying again.,images/img_124.png,1
125,Citrus,Fashion,143.14,4.9,0.05,I think this Citrus fashion is poor. Price feels fair. Would consider buying again.,images/img_125.png,1
126,Bravo,Home,226.39,2.8,0.0,I think this Bravo home is great. Price feels fair. Would consider buying again.,images/img_126.png,1
127,Alpha,Fashion,118.41,3.4,0.04,I think this Alpha fashion is poor. Price feels fair. Would consider buying again.,images/img_127.png,0
128,Delta,Beauty,108.45,1.8,0.14,I think this Delta beauty is great. Price feels fair. Would consider buying again.,images/img_128.png,1
129,Delta,Home,34.21,5.0,0.35,I think this Delta home is good. Price feels fair. Would consider buying again.,images/img_129.png,1
130,Bravo,Beauty,172.69,2.5,0.03,I think this Bravo beauty is great. Price feels fair. Would consider buying again.,images/img_130.png,1
131,Bravo,Fashion,174.53,2.6,0.28,I think this Bravo fashion is good. Price feels fair. Would consider buying again.,images/img_131.png,1
132,Alpha,Home,114.95,5.0,0.19,I think this Alpha home is good. Price feels fair. Would consider buying again.,images/img_132.png,1
133,Echo,Fashion,59.28,1.5,0.3,I think this Echo fashion is average. Price feels fair. Would consider buying again.,images/img_133.png,0
134,Echo,Home,269.02,4.8,0.22,I think this Echo home is terrible. Price feels fair. Would consider buying again.,images/img_134.png,0
135,Alpha,Home,83.79,4.5,0.05,I think this Alpha home is great. Price feels fair. Would consider buying again.,images/img_135.png,1
136,Citrus,Electronics,164.16,5.0,0.19,I think this Citrus electronics is great. Price feels fair. Would consider buying again.,images/img_136.png,1
137,Delta,Home,102.87,4.3,0.0,I think this Delta home is average. Price feels fair. Would consider buying again.,images/img_137.png,1
138,Citrus,Fashion,214.1,3.8,0.22,I think this Citrus fashion is average. Price feels fair. Would consider buying again.,images/img_138.png,0
139,Echo,Electronics,148.53,3.3,0.21,I think this Echo electronics is good. Price feels fair. Would consider buying again.,images/img_139.png,1
140,Echo,Beauty,168.09,2.6,0.23,I think this Echo beauty is great. Price feels fair. Would consider buying again.,images/img_140.png,1
141,Delta,Electronics,82.85,5.0,0.32,I think this Delta electronics is good. Price feels fair. Would consider buying again.,images/img_141.png,1
142,Echo,Beauty,184.77,3.8,0.22,I think this Echo beauty is good. Price feels fair. Would consider buying again.,images/img_142.png,1
143,Alpha,Home,288.86,4.4,0.11,I think this Alpha home is average. Price feels fair. Would consider buying again.,images/img_143.png,1
144,Alpha,Home,118.98,4.2,0.25,I think this Alpha home is good. Price feels fair. Would consider buying again.,images/img_144.png,1
145,Delta,Home,49.53,3.4,0.29,I think this Delta home is good. Price feels fair. Would consider buying again.,images/img_145.png,1
146,Citrus,Sports,63.06,4.7,0.01,I think this Citrus sports is great. Price feels fair. Would consider buying again.,images/img_146.png,1
147,Delta,Fashion,263.39,5.0,0.14,I think this Delta fashion is average. Price feels fair. Would consider buying again.,images/img_147.png,1
148,Bravo,Sports,269.9,4.7,0.53,I think this Bravo sports is average. Price feels fair. Would consider buying again.,images/img_148.png,1
149,Delta,Sports,76.34,3.8,0.32,I think this Delta sports is poor. Price feels fair. Would consider buying again.,images/img_149.png,1
150,Citrus,Home,75.42,1.7,0.41,I think this Citrus home is great. Price feels fair. Would consider buying again.,images/img_150.png,1
151,Echo,Sports,106.12,4.3,0.14,I think this Echo sports is average. Price feels fair. Would consider buying again.,images/img_151.png,1
152,Delta,Fashion,224.02,4.8,0.35,I think this Delta fashion is good. Price feels fair. Would consider buying again.,images/img_152.png,1
153,Bravo,Sports,18.72,5.0,0.26,I think this Bravo sports is good. Price feels fair. Would consider buying again.,images/img_153.png,1
154,Bravo,Electronics,38.85,1.8,0.3,I think this Bravo electronics is great. Price feels fair. Would consider buying again.,images/img_154.png,1
155,Echo,Home,124.21,3.6,0.26,I think this Echo home is great. Price feels fair. Would consider buying again.,images/img_155.png,1
156,Bravo,Home,232.85,4.0,0.18,I think this Bravo home is great. Price feels fair. Would consider buying again.,images/img_156.png,1
157,Bravo,Beauty,82.02,2.9,0.12,I think this Bravo beauty is great. Price feels fair. Would consider buying again.,images/img_157.png,1
158,Bravo,Fashion,74.93,2.3,0.11,I think this Bravo fashion is average. Price feels fair. Would consider buying again.,images/img_158.png,0
159,Alpha,Fashion,179.01,5.0,0.22,I think this Alpha fashion is good. Price feels fair. Would consider buying again.,images/img_159.png,1
160,Echo,Beauty,180.96,5.0,0.3,I think this Echo beauty is average. Price feels fair. Would consider buying again.,images/img_160.png,1
161,Delta,Fashion,132.0,4.2,0.22,I think this Delta fashion is good. Price feels fair. Would consider buying again.,images/img_161.png,1
162,Bravo,Electronics,44.62,3.4,0.13,I think this Bravo electronics is poor. Price feels fair. Would consider buying again.,images/img_162.png,1
163,Alpha,Fashion,276.04,4.1,0.36,I think this Alpha fashion is great. Price feels fair. Would consider buying again.,images/img_163.png,1
164,Echo,Fashion,119.0,3.2,0.3,I think this Echo fashion is great. Price feels fair. Would consider buying again.,images/img_164.png,1
165,Bravo,Electronics,105.71,4.9,0.0,I think this Bravo electronics is good. Price feels fair. Would consider buying again.,images/img_165.png,1
166,Delta,Sports,144.05,4.8,0.19,I think this Delta sports is terrible. Price feels fair. Would consider buying again.,images/img_166.png,0
167,Echo,Home,140.21,3.8,0.16,I think this Echo home is terrible. Price feels fair. Would consider buying again.,images/img_167.png,0
168,Delta,Sports,18.82,5.0,0.1,I think this Delta sports is poor. Price feels fair. Would consider buying again.,images/img_168.png,1
169,Echo,Fashion,12.8,3.0,0.28,I think this Echo fashion is poor. Price feels fair. Would consider buying again.,images/img_169.png,1
170,Echo,Fashion,170.62,4.1,0.37,I think this Echo fashion is poor. Price feels fair. Would consider buying again.,images/img_170.png,0
171,Delta,Fashion,181.66,4.0,0.2,I think this Delta fashion is great. Price feels fair. Would consider buying again.,images/img_171.png,1
172,Bravo,Home,110.32,5.0,0.11,I think this Bravo home is poor. Price feels fair. Would consider buying again.,images/img_172.png,1
173,Echo,Fashion,172.8,5.0,0.0,I think this Echo fashion is average. Price feels fair. Would consider buying again.,images/img_173.png,1
174,Citrus,Fashion,153.13,3.6,0.24,I think this Citrus fashion is great. Price feels fair. Would consider buying again.,images/img_174.png,1
175,Citrus,Beauty,283.37,2.6,0.08,I think this Citrus beauty is great. Price feels fair. Would consider buying again.,images/img_175.png,1
176,Citrus,Sports,241.22,3.7,0.35,I think this Citrus sports is great. Price feels fair. Would consider buying again.,images/img_176.png,1
177,Bravo,Beauty,76.01,4.1,0.18,I think this Bravo beauty is good. Price feels fair. Would consider buying again.,images/img_177.png,1
178,Bravo,Beauty,170.45,4.9,0.29,I think this Bravo beauty is great. Price feels fair. Would consider buying again.,images/img_178.png,1
179,Delta,Home,257.15,3.6,0.37,I think this Delta home is good. Price feels fair. Would consider buying again.,images/img_179.png,1
180,Delta,Electronics,126.85,3.4,0.16,I think this Delta electronics is great. Price feels fair. Would consider buying again.,images/img_180.png,1
181,Delta,Fashion,69.29,2.3,0.46,I think this Delta fashion is terrible. Price feels fair. Would consider buying again.,images/img_181.png,0
182,Echo,Electronics,190.18,5.0,0.12,I think this Echo electronics is poor. Price feels fair. Would consider buying again.,images/img_182.png,1
183,Echo,Fashion,86.74,2.7,0.46,I think this Echo fashion is good. Price feels fair. Would consider buying again.,images/img_183.png,1
184,Citrus,Home,258.71,3.6,0.24,I think this Citrus home is poor. Price feels fair. Would consider buying again.,images/img_184.png,0
185,Delta,Sports,268.42,3.7,0.4,I think this Delta sports is average. Price feels fair. Would consider buying again.,images/img_185.png,1
186,Echo,Sports,224.09,3.2,0.44,I think this Echo sports is poor. Price feels fair. Would consider buying again.,images/img_186.png,0
187,Delta,Beauty,251.13,4.0,0.25,I think this Delta beauty is great. Price feels fair. Would consider buying again.,images/img_187.png,1
188,Delta,Electronics,207.12,4.1,0.4,I think this Delta electronics is good. Price feels fair. Would consider buying again.,images/img_188.png,1
189,Delta,Beauty,88.48,5.0,0.31,I think this Delta beauty is poor. Price feels fair. Would consider buying again.,images/img_189.png,1
190,Bravo,Sports,39.91,3.6,0.1,I think this Bravo sports is good. Price feels fair. Would consider buying again.,images/img_190.png,1
191,Delta,Sports,182.25,5.0,0.35,I think this Delta sports is average. Price feels fair. Would consider buying again.,images/img_191.png,1
192,Alpha,Electronics,252.05,5.0,0.13,I think this Alpha electronics is average. Price feels fair. Would consider buying again.,images/img_192.png,1
193,Bravo,Fashion,57.22,3.7,0.23,I think this Bravo fashion is great. Price feels fair. Would consider buying again.,images/img_193.png,1
194,Citrus,Fashion,28.79,3.8,0.38,I think this Citrus fashion is good. Price feels fair. Would consider buying again.,images/img_194.png,1
195,Delta,Home,95.17,3.1,0.59,I think this Delta home is good. Price feels fair. Would consider buying again.,images/img_195.png,1
196,Delta,Home,48.15,2.2,0.18,I think this Delta home is poor. Price feels fair. Would consider buying again.,images/img_196.png,0
197,Delta,Home,181.57,4.0,0.1,I think this Delta home is poor. Price feels fair. Would consider buying again.,images/img_197.png,0
198,Delta,Electronics,189.77,1.9,0.15,I think this Delta electronics is average. Price feels fair. Would consider buying again.,images/img_198.png,0
199,Alpha,Home,152.69,3.4,0.47,I think this Alpha home is great. Price feels fair. Would consider buying again.,images/img_199.png,1
200,Alpha,Electronics,31.55,5.0,0.11,I think this Alpha electronics is poor. Price feels fair. Would consider buying again.,images/img_200.png,1
201,Bravo,Beauty,284.57,2.7,0.17,I think this Bravo beauty is poor. Price feels fair. Would consider buying again.,images/img_201.png,0
202,Echo,Beauty,228.93,5.0,0.3,I think this Echo beauty is great. Price feels fair. Would consider buying again.,images/img_202.png,1
203,Delta,Electronics,255.27,3.9,0.0,I think this Delta electronics is average. Price feels fair. Would consider buying again.,images/img_203.png,1
204,Bravo,Fashion,23.96,3.7,0.22,I think this Bravo fashion is average. Price feels fair. Would consider buying again.,images/img_204.png,1
205,Citrus,Beauty,61.37,4.8,0.22,I think this Citrus beauty is average. Price feels fair. Would consider buying again.,images/img_205.png,1
206,Alpha,Beauty,221.0,3.8,0.18,I think this Alpha beauty is terrible. Price feels fair. Would consider buying again.,images/img_206.png,0
207,Alpha,Sports,146.52,4.0,0.2,I think this Alpha sports is great. Price feels fair. Would consider buying again.,images/img_207.png,1
208,Citrus,Sports,195.92,2.7,0.41,I think this Citrus sports is average. Price feels fair. Would consider buying again.,images/img_208.png,0
209,Delta,Fashion,31.32,3.0,0.39,I think this Delta fashion is terrible. Price feels fair. Would consider buying again.,images/img_209.png,0
210,Bravo,Electronics,175.0,4.2,0.41,I think this Bravo electronics is average. Price feels fair. Would consider buying again.,images/img_210.png,1
211,Bravo,Electronics,190.51,4.3,0.33,I think this Bravo electronics is average. Price feels fair. Would consider buying again.,images/img_211.png,1
212,Citrus,Sports,142.96,3.6,0.02,I think this Citrus sports is poor. Price feels fair. Would consider buying again.,images/img_212.png,0
213,Echo,Electronics,298.4,5.0,0.1,I think this Echo electronics is good. Price feels fair. Would consider buying again.,images/img_213.png,1
214,Delta,Home,148.14,2.4,0.29,I think this Delta home is great. Price feels fair. Would consider buying again.,images/img_214.png,1
215,Citrus,Electronics,130.15,5.0,0.12,I think this Citrus electronics is poor. Price feels fair. Would consider buying again.,images/img_215.png,1
216,Delta,Electronics,144.52,4.8,0.13,I think this Delta electronics is good. Price feels fair. Would consider buying again.,images/img_216.png,1
217,Citrus,Fashion,21.21,2.1,0.02,I think this Citrus fashion is average. Price feels fair. Would consider buying again.,images/img_217.png,0
218,Delta,Beauty,286.36,3.4,0.32,I think this Delta beauty is average. Price feels fair. Would consider buying again.,images/img_218.png,1
219,Citrus,Sports,263.94,4.0,0.3,I think this Citrus sports is poor. Price feels fair. Would consider buying again.,images/img_219.png,0
220,Echo,Fashion,224.57,3.9,0.1,I think this Echo fashion is good. Price feels fair. Would consider buying again.,images/img_220.png,1
221,Echo,Home,185.24,2.4,0.21,I think this Echo home is good. Price feels fair. Would consider buying again.,images/img_221.png,0
222,Bravo,Electronics,19.65,4.5,0.38,I think this Bravo electronics is great. Price feels fair. Would consider buying again.,images/img_222.png,1
223,Delta,Beauty,278.05,5.0,0.11,I think this Delta beauty is poor. Price feels fair. Would consider buying again.,images/img_223.png,1
224,Echo,Sports,269.26,5.0,0.1,I think this Echo sports is average. Price feels fair. Would consider buying again.,images/img_224.png,1
225,Citrus,Electronics,180.95,3.2,0.22,I think this Citrus electronics is good. Price feels fair. Would consider buying again.,images/img_225.png,1
226,Citrus,Beauty,88.16,3.4,0.2,I think this Citrus beauty is good. Price feels fair. Would consider buying again.,images/img_226.png,1
227,Citrus,Home,243.76,4.7,0.5,I think this Citrus home is good. Price feels fair. Would consider buying again.,images/img_227.png,1
